time displacement-al displacement-ftsm temperature
0.00000e+00 -1.42752e-02 -1.06156e+00 1.04686e+01
1.50000e-02 5.77759e-03 -8.65939e-01 1.04852e+01
3.00000e-02 -5.72675e-03 -6.65614e-01 1.05023e+01
4.50000e-02 -1.84862e-03 -4.63895e-01 1.05197e+01
6.00000e-02 -2.61715e-03 -2.58840e-01 1.05375e+01
7.50000e-02 9.23008e-03 -5.24393e-02 1.05558e+01
9.00000e-02 -6.19969e-03 1.53823e-01 1.05744e+01
1.05000e-01 -9.07282e-03 3.60013e-01 1.05935e+01
1.20000e-01 9.90402e-03 5.65362e-01 1.06129e+01
1.35000e-01 6.65254e-03 7.68644e-01 1.06327e+01
1.50000e-01 9.92767e-03 9.70677e-01 1.06529e+01
1.65000e-01 5.28100e-03 1.16969e+00 1.06734e+01
1.80000e-01 4.70165e-03 1.36538e+00 1.06944e+01
1.95000e-01 2.26617e-02 1.55715e+00 1.07157e+01
2.10000e-01 4.68805e-04 1.74354e+00 1.07373e+01
2.25000e-01 1.08381e-02 1.92414e+00 1.07593e+01
2.40000e-01 -1.37431e-02 2.09899e+00 1.07816e+01
2.55000e-01 1.58158e-02 2.26690e+00 1.08043e+01
2.70000e-01 3.48399e-02 2.42735e+00 1.08273e+01
2.85000e-01 8.55613e-03 2.58038e+00 1.08506e+01
3.00000e-01 -1.16031e-02 2.72467e+00 1.08742e+01
3.15000e-01 1.42551e-02 2.85976e+00 1.08982e+01
3.30000e-01 9.73849e-03 2.98506e+00 1.09224e+01
3.45000e-01 9.50202e-03 3.10106e+00 1.09470e+01
3.60000e-01 1.28836e-02 3.20638e+00 1.09719e+01
3.75000e-01 1.06726e-02 3.30089e+00 1.09970e+01
3.90000e-01 9.77396e-03 3.38425e+00 1.10224e+01
4.05000e-01 9.01725e-03 3.45660e+00 1.10481e+01
4.20000e-01 2.30873e-02 3.51717e+00 1.10741e+01
4.35000e-01 2.87863e-02 3.56566e+00 1.11003e+01
4.50000e-01 2.61733e-02 3.60275e+00 1.11268e+01
4.65000e-01 3.38349e-02 3.62708e+00 1.11536e+01
4.80000e-01 2.48136e-02 3.63991e+00 1.11806e+01
4.95000e-01 2.77694e-02 3.64027e+00 1.12078e+01
5.10000e-01 1.97885e-02 3.62885e+00 1.12353e+01
5.25000e-01 2.54638e-02 3.60714e+00 1.12630e+01
5.40000e-01 9.36014e-03 3.57496e+00 1.12909e+01
5.55000e-01 1.76012e-02 3.53209e+00 1.13191e+01
5.70000e-01 4.41451e-02 3.47820e+00 1.13474e+01
5.85000e-01 1.83579e-02 3.41348e+00 1.13760e+01
6.00000e-01 2.56767e-02 3.33812e+00 1.14048e+01
6.15000e-01 4.62379e-02 3.25139e+00 1.14337e+01
6.30000e-01 3.66253e-02 3.15415e+00 1.14629e+01
6.45000e-01 4.10946e-02 3.04633e+00 1.14922e+01
6.60000e-01 4.09173e-02 2.92769e+00 1.15217e+01
6.75000e-01 4.27026e-02 2.79946e+00 1.15514e+01
6.90000e-01 1.34984e-02 2.66174e+00 1.15812e+01
7.05000e-01 2.15148e-02 2.51442e+00 1.16112e+01
7.20000e-01 4.05034e-02 2.35832e+00 1.16414e+01
7.35000e-01 3.19195e-02 2.19427e+00 1.16717e+01
7.50000e-01 4.29391e-02 2.02305e+00 1.17021e+01
7.65000e-01 4.28327e-02 1.84509e+00 1.17327e+01
7.80000e-01 5.27172e-02 1.66111e+00 1.17634e+01
7.95000e-01 3.41778e-02 1.47153e+00 1.17942e+01
8.10000e-01 4.71956e-02 1.27715e+00 1.18251e+01
8.25000e-01 5.78368e-02 1.07828e+00 1.18562e+01
8.40000e-01 6.11356e-02 8.77217e-01 1.18873e+01
8.55000e-01 5.44434e-02 6.73332e-01 1.19186e+01
8.70000e-01 5.25044e-02 4.66901e-01 1.19500e+01
8.85000e-01 5.19368e-02 2.60139e-01 1.19814e+01
9.00000e-01 4.03497e-02 5.26685e-02 1.20129e+01
9.15000e-01 4.78104e-02 -1.54530e-01 1.20445e+01
9.30000e-01 4.77749e-02 -3.60162e-01 1.20762e+01
9.45000e-01 5.96103e-02 -5.64431e-01 1.21079e+01
9.60000e-01 5.16294e-02 -7.65402e-01 1.21397e+01
