time theta u w c-inband-real c-inband-imaginary c-outofband-real c-outofband-imaginary d-inband-real d-inband-imaginary d-outofband-real d-outofband-imaginary q-inband-real q-inband-imaginary q-outofband-reak q-outofband-imaginary
0.000 0.000 -0.866 1.000 1.000 0.000 1.000 0.000 -0.866 0.000 -0.866 0.000 -0.881 0.500 -0.015 0.000
0.001 0.188 -0.944 0.999 0.982 -0.187 0.930 -0.368 -0.927 0.177 -0.877 0.347 -0.881 0.500 -0.015 0.000
0.002 0.377 -0.989 0.996 0.930 -0.368 0.729 -0.685 -0.916 0.363 -0.718 0.675 -0.881 0.500 -0.015 0.000
0.003 0.565 -0.999 0.991 0.844 -0.536 0.426 -0.905 -0.836 0.531 -0.422 0.896 -0.881 0.500 -0.015 0.000
0.004 0.754 -0.974 0.984 0.729 -0.684 0.063 -0.998 -0.699 0.656 -0.060 0.956 -0.881 0.500 -0.015 0.000
0.005 0.942 -0.914 0.976 0.588 -0.809 -0.309 -0.951 -0.524 0.721 0.275 0.848 -0.881 0.500 -0.015 0.000
0.006 1.131 -0.821 0.965 0.426 -0.905 -0.637 -0.771 -0.338 0.717 0.505 0.611 -0.881 0.500 -0.015 0.000
0.007 1.319 -0.700 0.953 0.249 -0.968 -0.876 -0.482 -0.166 0.646 0.584 0.322 -0.881 0.500 -0.015 0.000
0.008 1.507 -0.554 0.939 0.063 -0.998 -0.992 -0.127 -0.033 0.519 0.516 0.066 -0.881 0.500 -0.015 0.000
0.009 1.696 -0.388 0.923 -0.124 -0.992 -0.969 0.247 0.045 0.356 0.347 -0.089 -0.881 0.500 -0.015 0.000
0.010 1.884 -0.209 0.906 -0.308 -0.951 -0.810 0.586 0.058 0.180 0.154 -0.111 -0.881 0.500 -0.015 0.000
0.011 2.072 -0.023 0.887 -0.480 -0.877 -0.539 0.843 0.010 0.018 0.011 -0.017 -0.881 0.500 -0.015 0.000
0.012 2.260 0.165 0.867 -0.636 -0.772 -0.192 0.981 -0.091 -0.110 -0.027 0.140 -0.881 0.500 -0.015 0.000
0.013 2.448 0.346 0.846 -0.769 -0.640 0.182 0.983 -0.225 -0.187 0.053 0.288 -0.881 0.500 -0.015 0.000
0.014 2.636 0.515 0.824 -0.875 -0.485 0.530 0.848 -0.371 -0.206 0.225 0.360 -0.881 0.500 -0.015 0.000
0.015 2.823 0.666 0.801 -0.950 -0.313 0.804 0.595 -0.507 -0.167 0.429 0.317 -0.881 0.500 -0.015 0.000
0.016 3.011 0.793 0.777 -0.991 -0.130 0.966 0.259 -0.611 -0.080 0.595 0.159 -0.881 0.500 -0.015 0.000
0.017 3.198 0.893 0.752 -0.998 0.057 0.994 -0.113 -0.670 0.038 0.667 -0.076 -0.881 0.500 -0.015 0.000
0.018 3.386 0.961 0.726 -0.970 0.242 0.883 -0.469 -0.677 0.169 0.616 -0.327 -0.881 0.500 -0.015 0.000
0.019 3.573 0.996 0.700 -0.908 0.418 0.650 -0.760 -0.633 0.291 0.453 -0.530 -0.881 0.500 -0.015 0.000
0.020 3.760 0.996 0.674 -0.815 0.580 0.328 -0.945 -0.546 0.389 0.220 -0.634 -0.881 0.500 -0.015 0.000
0.021 3.947 0.961 0.647 -0.693 0.721 -0.040 -0.999 -0.431 0.448 -0.025 -0.621 -0.881 0.500 -0.015 0.000
0.022 4.134 0.892 0.620 -0.547 0.837 -0.402 -0.916 -0.303 0.463 -0.222 -0.507 -0.881 0.500 -0.015 0.000
0.023 4.320 0.793 0.593 -0.382 0.924 -0.708 -0.706 -0.180 0.435 -0.333 -0.332 -0.881 0.500 -0.015 0.000
0.024 4.507 0.666 0.566 -0.204 0.979 -0.917 -0.400 -0.077 0.369 -0.346 -0.151 -0.881 0.500 -0.015 0.000
0.025 4.693 0.517 0.539 -0.019 1.000 -0.999 -0.039 -0.005 0.279 -0.278 -0.011 -0.881 0.500 -0.015 0.000
0.026 4.879 0.349 0.513 0.166 0.986 -0.945 0.327 0.030 0.177 -0.169 0.059 -0.881 0.500 -0.015 0.000
0.027 5.065 0.170 0.487 0.345 0.938 -0.761 0.648 0.029 0.078 -0.063 0.054 -0.881 0.500 -0.015 0.000
0.028 5.251 -0.015 0.461 0.513 0.859 -0.474 0.880 -0.003 -0.006 0.003 -0.006 -0.881 0.500 -0.015 0.000
0.029 5.436 -0.199 0.436 0.662 0.749 -0.123 0.992 -0.057 -0.065 0.011 -0.086 -0.881 0.500 -0.015 0.000
0.030 5.621 -0.376 0.411 0.789 0.614 0.245 0.970 -0.122 -0.095 -0.038 -0.150 -0.881 0.500 -0.015 0.000
0.031 5.806 -0.540 0.387 0.889 0.459 0.579 0.815 -0.186 -0.096 -0.121 -0.170 -0.881 0.500 -0.015 0.000
0.032 5.991 -0.686 0.364 0.958 0.288 0.834 0.551 -0.239 -0.072 -0.208 -0.137 -0.881 0.500 -0.015 0.000
0.033 6.176 -0.807 0.341 0.994 0.107 0.977 0.213 -0.274 -0.030 -0.269 -0.059 -0.881 0.500 -0.015 0.000
0.034 6.360 -0.902 0.319 0.997 -0.077 0.988 -0.153 -0.287 0.022 -0.285 0.044 -0.881 0.500 -0.015 0.000
0.035 6.544 -0.966 0.298 0.966 -0.258 0.867 -0.499 -0.278 0.074 -0.250 0.144 -0.881 0.500 -0.015 0.000
0.036 6.728 -0.997 0.278 0.903 -0.430 0.630 -0.777 -0.250 0.119 -0.174 0.215 -0.881 0.500 -0.015 0.000
0.037 6.912 -0.995 0.259 0.809 -0.588 0.309 -0.951 -0.208 0.151 -0.079 0.245 -0.881 0.500 -0.015 0.000
0.038 7.095 -0.959 0.240 0.688 -0.726 -0.053 -0.999 -0.159 0.167 0.012 0.230 -0.881 0.500 -0.015 0.000
