a fft p
 -1.00000e+02 9.47947e-08 6.00691e-09
 -9.90000e+01 2.91938e-24 1.95325e-08
 -9.80000e+01 5.66307e-07 6.10248e-08
 -9.70000e+01 2.87579e-23 1.83187e-07
 -9.60000e+01 3.06746e-06 5.28352e-07
 -9.50000e+01 2.79401e-23 1.46417e-06
 -9.40000e+01 1.50303e-05 3.89854e-06
 -9.30000e+01 2.72569e-22 9.97361e-06
 -9.20000e+01 6.64604e-05 2.45156e-05
 -9.10000e+01 2.71771e-21 5.78993e-05
 -9.00000e+01 2.64508e-04 1.31385e-04
 -8.90000e+01 2.80236e-21 2.86455e-04
 -8.80000e+01 9.44930e-04 6.00079e-04
 -8.70000e+01 2.99574e-20 1.20782e-03
 -8.60000e+01 3.02114e-03 2.33579e-03
 -8.50000e+01 3.29496e-20 4.34018e-03
 -8.40000e+01 8.61778e-03 7.74857e-03
 -8.30000e+01 3.66826e-20 1.32916e-02
 -8.20000e+01 2.18593e-02 2.19064e-02
 -8.10000e+01 4.04259e-20 3.46901e-02
 -8.00000e+01 4.91343e-02 5.27814e-02
 -7.90000e+01 4.30236e-29 7.71609e-02
 -7.80000e+01 9.75226e-02 1.08381e-01
 -7.70000e+01 4.31573e-29 1.46269e-01
 -7.60000e+01 1.70340e-01 1.89666e-01
 -7.50000e+01 3.99258e-29 2.36305e-01
 -7.40000e+01 2.61088e-01 2.82878e-01
 -7.30000e+01 3.34804e-29 3.25369e-01
 -7.20000e+01 3.50724e-01 3.59597e-01
 -7.10000e+01 2.52076e-29 3.81899e-01
 -7.00000e+01 4.13838e-01 3.89794e-01
 -6.90000e+01 1.71346e-29 3.82484e-01
 -6.80000e+01 4.33128e-01 3.61071e-01
 -6.70000e+01 1.08927e-29 3.28435e-01
 -6.60000e+01 4.11945e-01 2.88847e-01
 -6.50000e+01 7.04182e-39 2.47412e-01
 -6.40000e+01 3.73578e-01 2.09501e-01
 -6.30000e+01 5.20884e-39 1.80295e-01
 -6.20000e+01 3.48306e-01 1.64461e-01
 -6.10000e+01 4.64614e-39 1.65968e-01
 -6.00000e+01 3.61487e-01 1.87902e-01
 -5.90000e+01 4.56859e-39 2.32222e-01
 -5.80000e+01 4.30601e-01 2.99362e-01
 -5.70000e+01 4.24220e-38 3.87738e-01
 -5.60000e+01 5.62412e-01 4.93291e-01
 -5.50000e+01 3.28453e-38 6.09270e-01
 -5.40000e+01 7.40055e-01 7.26477e-01
 -5.30000e+01 2.19053e-38 8.34086e-01
 -5.20000e+01 9.10900e-01 9.21009e-01
 -5.10000e+01 2.38466e-38 9.77569e-01
 -5.00000e+01 1.00000e+00 9.97142e-01
 -4.90000e+01 5.31338e-38 9.77340e-01
 -4.80000e+01 9.53237e-01 9.20433e-01
 -4.70000e+01 1.11717e-28 8.32889e-01
 -4.60000e+01 7.77315e-01 7.24146e-01
 -4.50000e+01 1.84643e-28 6.04934e-01
 -4.40000e+01 5.37931e-01 4.85551e-01
 -4.30000e+01 2.48802e-29 3.74467e-01
 -4.20000e+01 3.15881e-01 2.77504e-01
 -4.10000e+01 2.86944e-20 1.97645e-01
 -4.00000e+01 1.60522e-01 1.35378e-01
 -3.90000e+01 2.95345e-20 8.93681e-02
 -3.80000e+01 7.63589e-02 5.72565e-02
 -3.70000e+01 2.81422e-20 3.63937e-02
 -3.60000e+01 4.21301e-02 2.44145e-02
 -3.50000e+01 2.56495e-20 1.96176e-02
 -3.40000e+01 3.72211e-02 2.11668e-02
 -3.30000e+01 2.30276e-20 2.91435e-02
 -3.20000e+01 5.61356e-02 4.44727e-02
 -3.10000e+01 2.09216e-20 6.87259e-02
 -3.00000e+01 1.08417e-01 1.03788e-01
 -2.90000e+01 1.97276e-29 1.51384e-01
 -2.80000e+01 2.08582e-01 2.12490e-01
 -2.70000e+01 1.97059e-29 2.86711e-01
 -2.60000e+01 3.59971e-01 3.71754e-01
 -2.50000e+01 2.10221e-29 4.63153e-01
 -2.40000e+01 5.39055e-01 5.54422e-01
 -2.30000e+01 2.36815e-29 6.37673e-01
 -2.20000e+01 6.93226e-01 7.04688e-01
 -2.10000e+01 2.73857e-29 7.48232e-01
 -2.00000e+01 7.62344e-01 7.63336e-01
 -1.90000e+01 3.14438e-29 7.48232e-01
 -1.80000e+01 7.14878e-01 7.04688e-01
 -1.70000e+01 3.49002e-20 6.37673e-01
 -1.60000e+01 5.70134e-01 5.54421e-01
 -1.50000e+01 3.68917e-20 4.63150e-01
 -1.40000e+01 3.85672e-01 3.71744e-01
 -1.30000e+01 3.70138e-21 2.86686e-01
 -1.20000e+01 2.20667e-01 2.12427e-01
 -1.10000e+01 3.54444e-21 1.51235e-01
 -1.00000e+01 1.06491e-01 1.03452e-01
 -9.00000e+00 3.27778e-21 6.79926e-02
 -8.00000e+00 4.32542e-02 4.29366e-02
 -7.00000e+00 2.97369e-21 2.60518e-02
 -6.00000e+00 1.48279e-02 1.51882e-02
 -5.00000e+00 2.69521e-22 8.50962e-03
 -4.00000e+00 4.42326e-03 4.58579e-03
 -3.00000e+00 2.48723e-22 2.38687e-03
 -2.00000e+00 1.35894e-03 1.22421e-03
 -1.00000e+00 2.37695e-21 6.74935e-04
0.00000e+00 7.65646e-04 5.15028e-04
1.00000e+00 2.37695e-29 6.74935e-04
2.00000e+00 1.35894e-03 1.22421e-03
3.00000e+00 2.48723e-29 2.38687e-03
4.00000e+00 4.42326e-03 4.58579e-03
5.00000e+00 2.69521e-29 8.50962e-03
6.00000e+00 1.48279e-02 1.51882e-02
7.00000e+00 2.97369e-29 2.60518e-02
8.00000e+00 4.32542e-02 4.29366e-02
9.00000e+00 3.27778e-29 6.79926e-02
1.00000e+01 1.06491e-01 1.03452e-01
1.10000e+01 3.54444e-29 1.51235e-01
1.20000e+01 2.20667e-01 2.12427e-01
