lambda2-lambda1 rms-sigma/3 rms-sigma/2 rms-sigma rms-2sigma rms-3sigma w-sigma/3 w-sigma/2 w-sigma w-2sigma w-3sigma
-1.00000e+00 5.03058e-01 1.19429e-01 2.61120e-03 1.62643e-03 1.37410e-03 nan nan nan nan nan
-9.90000e-01 5.02130e-01 1.19356e-01 1.65630e-03 1.27591e-03 1.25170e-03 nan nan nan nan nan
-9.80000e-01 5.02609e-01 1.19914e-01 2.48936e-03 2.32927e-03 2.20817e-03 nan nan nan nan nan
-9.70000e-01 5.03038e-01 1.20613e-01 2.04872e-03 1.37392e-03 1.17008e-03 nan nan nan nan nan
-9.60000e-01 5.03153e-01 1.20898e-01 1.65335e-03 1.39480e-03 1.30787e-03 nan nan nan nan nan
-9.50000e-01 5.03421e-01 1.21862e-01 3.13603e-03 1.88303e-03 1.47131e-03 nan nan nan nan nan
-9.40000e-01 5.04996e-01 1.23468e-01 1.93697e-03 1.40045e-03 1.13303e-03 nan nan nan nan nan
-9.30000e-01 5.05582e-01 1.24811e-01 2.01421e-03 1.53770e-03 1.33530e-03 nan nan nan nan nan
-9.20000e-01 5.06690e-01 1.26917e-01 3.19623e-03 1.87469e-03 1.44840e-03 nan nan nan nan nan
-9.10000e-01 5.08178e-01 1.28860e-01 1.96736e-03 1.36366e-03 1.19751e-03 nan nan nan nan nan
-9.00000e-01 5.08746e-01 1.30941e-01 3.13708e-03 2.14729e-03 1.87039e-03 nan nan nan nan nan
-8.90000e-01 5.11489e-01 1.33659e-01 2.01455e-03 1.30404e-03 1.14118e-03 nan nan nan nan nan
-8.80000e-01 5.12700e-01 1.36367e-01 2.07259e-03 1.29364e-03 1.19165e-03 nan nan nan nan nan
-8.70000e-01 5.15209e-01 1.39351e-01 3.19141e-03 1.74775e-03 1.27978e-03 nan nan nan nan nan
-8.60000e-01 5.17124e-01 1.42550e-01 2.72887e-03 1.95674e-03 1.50589e-03 nan nan nan nan nan
-8.50000e-01 5.18487e-01 1.45530e-01 2.37092e-03 1.50286e-03 1.24721e-03 nan nan nan nan nan
-8.40000e-01 5.21225e-01 1.49540e-01 2.33181e-03 1.14420e-03 9.46734e-04 nan nan nan nan nan
-8.30000e-01 5.23248e-01 1.53020e-01 3.41850e-03 2.44847e-03 1.74715e-03 nan nan nan nan nan
-8.20000e-01 5.25649e-01 1.57417e-01 2.18760e-03 1.34703e-03 1.10733e-03 nan nan nan nan nan
-8.10000e-01 5.28398e-01 1.61444e-01 2.41601e-03 1.27256e-03 1.30233e-03 nan nan nan nan nan
-8.00000e-01 5.31862e-01 1.66395e-01 1.91370e-03 1.23474e-03 1.15538e-03 nan nan nan nan nan
-7.90000e-01 5.34029e-01 1.70904e-01 2.05992e-03 1.25701e-03 1.23766e-03 nan nan nan nan nan
-7.80000e-01 5.38300e-01 1.76293e-01 2.29571e-03 1.65098e-03 1.32552e-03 nan nan nan nan nan
-7.70000e-01 5.40587e-01 1.81373e-01 4.21021e-03 2.21625e-03 1.49707e-03 nan nan nan nan nan
-7.60000e-01 5.44281e-01 1.86781e-01 2.47925e-03 1.38339e-03 1.26444e-03 nan nan nan nan nan
-7.50000e-01 5.48243e-01 1.92504e-01 2.54191e-03 1.23685e-03 1.03217e-03 nan nan nan nan nan
-7.40000e-01 5.51715e-01 1.98748e-01 4.07933e-03 1.95201e-03 1.22656e-03 nan nan nan nan nan
-7.30000e-01 5.55267e-01 2.04645e-01 3.32641e-03 2.08805e-03 1.82998e-03 nan nan nan nan nan
-7.20000e-01 5.58885e-01 2.10787e-01 3.50012e-03 1.38882e-03 1.13837e-03 nan nan nan nan nan
-7.10000e-01 5.64062e-01 2.18161e-01 4.76307e-03 1.78130e-03 1.54886e-03 nan nan nan nan nan
-7.00000e-01 5.67103e-01 2.24486e-01 5.78628e-03 3.53203e-03 3.15002e-03 nan nan nan nan nan
