ib power-20 power-25 power-30 frequency-20 frequency-25 frequency-30
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 nan nan nan
1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 nan nan nan
2.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 nan nan nan
3.00000e+01 1.00000e-03 1.00000e-03 1.00000e-03 nan nan nan
4.00000e+01 1.85000e-01 1.06000e-01 3.00000e-02 nan nan nan
5.00000e+01 5.04000e-01 4.06000e-01 3.07000e-01 1.93529e+02 1.93472e+02 1.93417e+02
6.00000e+01 8.45000e-01 7.33000e-01 6.18000e-01 1.93527e+02 1.93470e+02 1.93415e+02
7.00000e+01 1.19700e+00 1.07400e+00 9.44000e-01 1.93526e+02 1.93469e+02 1.93413e+02
8.00000e+01 1.55600e+00 1.42300e+00 1.28100e+00 1.93524e+02 1.93467e+02 1.93411e+02
9.00000e+01 1.92000e+00 1.77800e+00 1.62300e+00 1.93522e+02 1.93465e+02 1.93409e+02
1.00000e+02 2.28600e+00 2.13500e+00 1.97000e+00 1.93520e+02 1.93463e+02 1.93407e+02
1.10000e+02 2.65200e+00 2.49300e+00 2.31800e+00 1.93517e+02 1.93460e+02 1.93405e+02
1.20000e+02 3.01800e+00 2.85200e+00 2.66700e+00 1.93515e+02 1.93458e+02 1.93402e+02
1.30000e+02 3.38400e+00 3.21000e+00 3.01600e+00 1.93513e+02 1.93456e+02 1.93400e+02
1.40000e+02 3.74900e+00 3.56800e+00 3.36600e+00 1.93510e+02 1.93453e+02 1.93397e+02
1.50000e+02 4.11300e+00 3.92600e+00 3.71500e+00 1.93508e+02 1.93450e+02 1.93394e+02
1.60000e+02 4.47600e+00 4.28500e+00 4.06400e+00 1.93505e+02 1.93447e+02 1.93392e+02
1.70000e+02 4.84000e+00 4.64300e+00 4.41400e+00 1.93502e+02 1.93444e+02 1.93389e+02
1.80000e+02 5.20500e+00 5.00300e+00 4.76400e+00 1.93499e+02 1.93441e+02 1.93386e+02
1.90000e+02 5.56900e+00 5.36100e+00 5.11400e+00 1.93496e+02 1.93438e+02 1.93383e+02
2.00000e+02 5.93100e+00 5.71900e+00 5.46200e+00 1.93493e+02 1.93435e+02 1.93379e+02
