fm 140-hi 140-hi-error 140-lo 140-lo-error 140-md 140-md-error 160-hi 160-hi-error 160-lo 160-lo-error 160-md 160-md-error 180-hi 180-hi-error 180-lo 180-lo-error 180-md 180-md-error 140-fit 160-fit 180-fit
2.50000e+04 1.27847e+02 3.27006e+00 1.22982e+02 2.56624e+00 1.22585e+02 2.99241e+00 1.38830e+02 3.56303e+00 1.36183e+02 2.84821e+00 1.36599e+02 3.28714e+00 1.47694e+02 3.80028e+00 1.45819e+02 3.09508e+00 1.45510e+02 3.51263e+00 1.23046e+02 1.40623e+02 1.58201e+02
3.30033e+04 1.26965e+02 4.62652e+00 1.14952e+02 4.03540e+00 1.14237e+02 5.04288e+00 1.31084e+02 4.99896e+00 1.26370e+02 4.46184e+00 1.33588e+02 5.48792e+00 1.47714e+02 5.39824e+00 1.34661e+02 4.77492e+00 1.44358e+02 5.93916e+00 1.13957e+02 1.30236e+02 1.46516e+02
4.19992e+04 1.11757e+02 3.77315e+00 1.08388e+02 3.29230e+00 1.05035e+02 4.03324e+00 1.21216e+02 4.09912e+00 1.24951e+02 3.77322e+00 1.24485e+02 4.44192e+00 1.29660e+02 4.39224e+00 1.28203e+02 3.95058e+00 1.33041e+02 4.75428e+00 1.06615e+02 1.21846e+02 1.37076e+02
5.50055e+04 1.00457e+02 4.99764e+00 9.81132e+01 4.66100e+00 1.09159e+02 5.99956e+00 1.10907e+02 5.52304e+00 1.09621e+02 5.34300e+00 1.18300e+02 6.50688e+00 1.31966e+02 5.97428e+00 1.27596e+02 5.58852e+00 1.28897e+02 6.92076e+00 9.89568e+01 1.13094e+02 1.27230e+02
7.19942e+04 1.03460e+02 4.08408e+00 9.77772e+01 3.65872e+00 1.05315e+02 4.64960e+00 1.12978e+02 4.46596e+00 1.15829e+02 4.27728e+00 1.13393e+02 5.01104e+00 1.20459e+02 4.76784e+00 1.14386e+02 4.31864e+00 1.21412e+02 5.37084e+00 9.18648e+01 1.04988e+02 1.18112e+02
9.30233e+04 9.87776e+01 3.37961e+00 8.88560e+01 2.92430e+00 9.19548e+01 3.61759e+00 1.06103e+02 3.63578e+00 1.03453e+02 3.44187e+00 9.72420e+01 3.96246e+00 1.07627e+02 6.61472e+00 1.12656e+02 3.52429e+00 1.16979e+02 4.23936e+00 8.55856e+01 9.78120e+01 1.10039e+02
1.21065e+05 9.02416e+01 4.53236e+00 8.18704e+01 4.24820e+00 8.20604e+01 5.32248e+00 8.95012e+01 4.83064e+00 9.03888e+01 5.00092e+00 9.89420e+01 5.80732e+00 9.61796e+01 5.19420e+00 9.67916e+01 5.04792e+00 9.50368e+01 6.16996e+00 7.95768e+01 9.09448e+01 1.02313e+02
1.57978e+05 7.76116e+01 3.53502e+00 7.66668e+01 3.30398e+00 8.16500e+01 4.12724e+00 8.59784e+01 3.82695e+00 8.56576e+01 3.70777e+00 8.56904e+01 4.48852e+00 9.22528e+01 4.10980e+00 9.14628e+01 3.97440e+00 9.05716e+01 4.74684e+00 7.39356e+01 8.44976e+01 9.50600e+01
2.06186e+05 7.25780e+01 5.05588e+00 7.25496e+01 4.94016e+00 6.86668e+01 6.17120e+00 8.13536e+01 5.50296e+00 8.01856e+01 5.46936e+00 6.72616e+01 6.62356e+00 9.22828e+01 5.90116e+00 9.05416e+01 5.81624e+00 7.84932e+01 7.05740e+00 6.86904e+01 7.85036e+01 8.83164e+01
2.68097e+05 6.96908e+01 3.97481e+00 6.93032e+01 3.81804e+00 6.83484e+01 4.72112e+00 7.58232e+01 4.32768e+00 7.78504e+01 4.30132e+00 6.38172e+01 5.07736e+00 8.07768e+01 4.61284e+00 8.20776e+01 4.54312e+00 7.86920e+01 5.43992e+00 6.38840e+01 7.30100e+01 8.21364e+01
3.48432e+05 6.01456e+01 3.11148e+00 5.98716e+01 2.96847e+00 5.85876e+01 3.63414e+00 6.64348e+01 3.33869e+00 6.39204e+01 3.45003e+00 7.00504e+01 3.95083e+00 7.15164e+01 3.59652e+00 7.32896e+01 3.54128e+00 7.14220e+01 4.19348e+00 5.94212e+01 6.79100e+01 7.63988e+01
4.54545e+05 6.21788e+01 2.51742e+00 5.45116e+01 2.30656e+00 6.17548e+01 2.83447e+00 5.89284e+01 2.64307e+00 6.95416e+01 2.63598e+00 6.81932e+01 3.13314e+00 6.92076e+01 2.90519e+00 7.44036e+01 2.83392e+00 6.04520e+01 3.24441e+00 5.52132e+01 6.31008e+01 7.09880e+01
5.91716e+05 4.68396e+01 4.26948e+00 5.51348e+01 4.30848e+00 5.93460e+01 5.33324e+00 5.92668e+01 4.71532e+00 6.20312e+01 4.85492e+00 6.37964e+01 5.73476e+00 6.34624e+01 5.05032e+00 6.49156e+01 5.08476e+00 5.73016e+01 6.08112e+00 5.13328e+01 5.86664e+01 6.59996e+01
7.69231e+05 4.21148e+01 3.34942e+00 5.34548e+01 3.37147e+00 4.64892e+01 4.08872e+00 4.52464e+01 3.59966e+00 4.66476e+01 3.64892e+00 4.74584e+01 4.45996e+00 6.33588e+01 3.94396e+00 6.42496e+01 3.89165e+00 5.35632e+01 4.71332e+00 4.77436e+01 5.45640e+01 6.13848e+01
1.00000e+06 4.47860e+01 2.64727e+00 4.56468e+01 5.11076e+00 4.29032e+01 6.15516e+00 4.84028e+01 5.46680e+00 4.62628e+01 5.82096e+00 4.37892e+01 6.76204e+00 5.16016e+01 5.82912e+00 5.09948e+01 3.09259e+00 5.04916e+01 7.24520e+00 4.44052e+01 5.07488e+01 5.70924e+01
