fm 140-hi 140-hi-error 140-lo 140-lo-error 140-md 140-md-error 160-hi 160-hi-error 160-lo 160-lo-error 160-md 160-md-error 180-hi 180-hi-error 180-lo 180-lo-error 180-md 180-md-error fit
2.50000e+04 1.99712e+03 7.00017e+01 1.94221e+03 7.00024e+01 2.04908e+03 7.00017e+01 1.98812e+03 7.00017e+01 2.02221e+03 7.00024e+01 2.01908e+03 7.00017e+01 1.98112e+03 7.00017e+01 1.92321e+03 7.00024e+01 1.97908e+03 7.00017e+01 1.99346e+03
3.30033e+04 1.67112e+03 6.50019e+01 1.62821e+03 6.50026e+01 1.63608e+03 6.50019e+01 1.66012e+03 6.50019e+01 1.72221e+03 6.50026e+01 1.65508e+03 6.50019e+01 1.62912e+03 6.50019e+01 1.64421e+03 6.50026e+01 1.65508e+03 6.50019e+01 1.65745e+03
4.19992e+04 1.44862e+03 6.00020e+01 1.41771e+03 6.00029e+01 1.43258e+03 6.00020e+01 1.46342e+03 6.00020e+01 1.47671e+03 6.00029e+01 1.41858e+03 6.00020e+01 1.37962e+03 6.00020e+01 1.41171e+03 6.00029e+01 1.39858e+03 6.00020e+01 1.41209e+03
5.50055e+04 1.18812e+03 5.50022e+01 1.16821e+03 5.50031e+01 1.17908e+03 5.50022e+01 1.18712e+03 5.50022e+01 1.17421e+03 5.50031e+01 1.20108e+03 5.50022e+01 1.17812e+03 5.50022e+01 1.16821e+03 5.50031e+01 1.18108e+03 5.50022e+01 1.18030e+03
7.19942e+04 1.01262e+03 5.00024e+01 9.68713e+02 5.00034e+01 1.00558e+03 5.00024e+01 1.01062e+03 5.00024e+01 9.80713e+02 5.00034e+01 1.01058e+03 5.00024e+01 9.96618e+02 5.00024e+01 9.44713e+02 5.00034e+01 9.98583e+02 5.00024e+01 9.86961e+02
9.30233e+04 8.46618e+02 4.00030e+01 8.15713e+02 4.00043e+01 8.52583e+02 4.00030e+01 8.37618e+02 4.00030e+01 8.11713e+02 4.00043e+01 8.56583e+02 4.00030e+01 8.29618e+02 4.00030e+01 7.84713e+02 4.00043e+01 8.36583e+02 4.00030e+01 8.32396e+02
1.21065e+05 7.21118e+02 3.00040e+01 6.61213e+02 3.00057e+01 7.16083e+02 3.00040e+01 7.03118e+02 3.00040e+01 6.78213e+02 3.00057e+01 7.13083e+02 3.00040e+01 6.96118e+02 3.00040e+01 6.49213e+02 3.00057e+01 7.04083e+02 3.00040e+01 6.98676e+02
1.57978e+05 5.88618e+02 2.00061e+01 5.44713e+02 2.00086e+01 5.94583e+02 2.00061e+01 5.84618e+02 2.00061e+01 5.51713e+02 2.00086e+01 5.82583e+02 2.00061e+01 5.79618e+02 2.00061e+01 5.53713e+02 2.00086e+01 5.81583e+02 2.00061e+01 5.85409e+02
2.06186e+05 4.81618e+02 1.50081e+01 4.71713e+02 1.50114e+01 5.00583e+02 1.50081e+01 4.91618e+02 1.50081e+01 4.43713e+02 1.50114e+01 5.00583e+02 1.50081e+01 4.85618e+02 1.50081e+01 4.54713e+02 1.50114e+01 4.84583e+02 1.50081e+01 4.90440e+02
2.68097e+05 4.07618e+02 1.20101e+01 3.87713e+02 1.20142e+01 4.08583e+02 1.20101e+01 4.03618e+02 1.20101e+01 3.97713e+02 1.20142e+01 4.16583e+02 1.20101e+01 4.06618e+02 1.20101e+01 3.76713e+02 1.20142e+01 4.06583e+02 1.20101e+01 4.11903e+02
3.48432e+05 3.52618e+02 1.00121e+01 3.27713e+02 1.00171e+01 3.52583e+02 1.00121e+01 3.42618e+02 1.00121e+01 3.24713e+02 1.00171e+01 3.57583e+02 1.00121e+01 3.45618e+02 1.00121e+01 2.88713e+02 1.00171e+01 3.41583e+02 1.00121e+01 3.46052e+02
4.54545e+05 2.96118e+02 8.01516e+00 2.62213e+02 8.02135e+00 3.02083e+02 8.01516e+00 2.95118e+02 8.01516e+00 2.63213e+02 8.02135e+00 3.03083e+02 8.01516e+00 2.91118e+02 8.01516e+00 2.77213e+02 8.02135e+00 2.93083e+02 8.01516e+00 2.90003e+02
5.91716e+05 2.63618e+02 6.02020e+00 2.43713e+02 6.02844e+00 2.65583e+02 6.02020e+00 2.54618e+02 6.02020e+00 2.38713e+02 6.02844e+00 2.65583e+02 6.02020e+00 2.59618e+02 6.02020e+00 2.35713e+02 6.02844e+00 2.54583e+02 6.02020e+00 2.43376e+02
7.69231e+05 2.37118e+02 5.02422e+00 2.08213e+02 5.03409e+00 2.38083e+02 5.02422e+00 2.30118e+02 5.02422e+00 1.86213e+02 5.03409e+00 2.37083e+02 5.02422e+00 2.27118e+02 5.02422e+00 2.04213e+02 5.03409e+00 2.26083e+02 5.02422e+00 2.04431e+02
1.00000e+06 2.14118e+02 4.03023e+00 1.85213e+02 4.04253e+00 2.08083e+02 4.03023e+00 2.07118e+02 4.03023e+00 1.78213e+02 4.04253e+00 2.08083e+02 4.03023e+00 2.05118e+02 4.03023e+00 1.78213e+02 4.04253e+00 2.08083e+02 4.03023e+00 1.71718e+02
