frequency fft p
-1.00000e+02 -4.44181e+01 -2.08113e+02
-9.90000e+01 -3.82697e+01 -1.99728e+02
-9.80000e+01 -3.95104e+01 -1.91517e+02
-9.70000e+01 -4.15490e+01 -1.83480e+02
-9.60000e+01 -3.42366e+01 -1.75616e+02
-9.50000e+01 -4.55189e+01 -1.67926e+02
-9.40000e+01 -3.12305e+01 -1.60409e+02
-9.30000e+01 -4.90998e+01 -1.53066e+02
-9.20000e+01 -2.95362e+01 -1.45896e+02
-9.10000e+01 -4.72669e+01 -1.38900e+02
-9.00000e+01 -2.87558e+01 -1.32078e+02
-8.90000e+01 -4.23083e+01 -1.25429e+02
-8.80000e+01 -2.87231e+01 -1.18954e+02
-8.70000e+01 -3.78508e+01 -1.12653e+02
-8.60000e+01 -2.93733e+01 -1.06525e+02
-8.50000e+01 -3.40096e+01 -1.00571e+02
-8.40000e+01 -3.06874e+01 -9.47898e+01
-8.30000e+01 -3.06001e+01 -8.91826e+01
-8.20000e+01 -3.26485e+01 -8.37491e+01
-8.10000e+01 -2.75558e+01 -7.84891e+01
-8.00000e+01 -3.51155e+01 -7.34028e+01
-7.90000e+01 -2.48983e+01 -6.84900e+01
-7.80000e+01 -3.70820e+01 -6.37508e+01
-7.70000e+01 -2.26721e+01 -5.91853e+01
-7.60000e+01 -3.55343e+01 -5.47933e+01
-7.50000e+01 -2.09027e+01 -5.05749e+01
-7.40000e+01 -3.07770e+01 -4.65301e+01
-7.30000e+01 -1.95789e+01 -4.26590e+01
-7.20000e+01 -2.55270e+01 -3.89614e+01
-7.10000e+01 -1.86445e+01 -3.54374e+01
-7.00000e+01 -2.05562e+01 -3.20870e+01
-6.90000e+01 -1.79917e+01 -2.89102e+01
-6.80000e+01 -1.60177e+01 -2.59070e+01
-6.70000e+01 -1.74703e+01 -2.30774e+01
-6.60000e+01 -1.19725e+01 -2.04213e+01
-6.50000e+01 -1.69354e+01 -1.79389e+01
-6.40000e+01 -8.45960e+00 -1.56301e+01
-6.30000e+01 -1.63291e+01 -1.34949e+01
-6.20000e+01 -5.51023e+00 -1.15332e+01
-6.10000e+01 -1.57212e+01 -9.74518e+00
-6.00000e+01 -3.15337e+00 -8.13070e+00
-5.90000e+01 -1.52569e+01 -6.68980e+00
-5.80000e+01 -1.42047e+00 -5.42244e+00
-5.70000e+01 -1.50595e+01 -4.32858e+00
-5.60000e+01 -3.50693e-01 -3.40813e+00
-5.50000e+01 -1.51436e+01 -2.66094e+00
-5.40000e+01 0.00000e+00 -2.08669e+00
-5.30000e+01 -1.53281e+01 -1.68482e+00
-5.20000e+01 -4.60155e-01 -1.45427e+00
-5.10000e+01 -1.51986e+01 -1.39303e+00
-5.00000e+01 -1.90519e+00 -1.49738e+00
-4.90000e+01 -1.43571e+01 -1.76039e+00
-4.80000e+01 -4.73103e+00 -2.16936e+00
-4.70000e+01 -1.28445e+01 -2.70151e+00
-4.60000e+01 -1.01607e+01 -3.31753e+00
-4.50000e+01 -1.10267e+01 -3.95437e+00
-4.40000e+01 -2.61467e+01 -4.52309e+00
