time alpha-beta alpha-gamma beta-gamma alpha-gamma-minus-alpha-beta
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
5.00000e-03 1.87888e-01 -2.10424e+00 -2.26029e+00 -2.29213e+00
1.00000e-02 4.98920e-01 -4.28145e+00 -4.78901e+00 -4.78037e+00
1.50000e-02 6.92649e-01 -6.63361e+00 -7.33211e+00 -7.32626e+00
2.00000e-02 9.47104e-01 -9.09580e+00 -1.00129e+01 -1.00429e+01
2.50000e-02 1.16958e+00 -1.16690e+01 -1.28217e+01 -1.28385e+01
3.00000e-02 1.39457e+00 -1.43496e+01 -1.57506e+01 -1.57442e+01
3.50000e-02 1.68472e+00 -1.71293e+01 -1.88029e+01 -1.88140e+01
4.00000e-02 1.85401e+00 -2.00407e+01 -2.18919e+01 -2.18947e+01
4.50000e-02 2.18037e+00 -2.29041e+01 -2.50905e+01 -2.50845e+01
5.00000e-02 2.34016e+00 -2.59453e+01 -2.82853e+01 -2.82854e+01
5.50000e-02 2.70694e+00 -2.89541e+01 -3.16575e+01 -3.16611e+01
6.00000e-02 2.85016e+00 -3.20068e+01 -3.48700e+01 -3.48569e+01
6.50000e-02 3.16397e+00 -3.51008e+01 -3.82563e+01 -3.82648e+01
7.00000e-02 3.32204e+00 -3.82298e+01 -4.15334e+01 -4.15518e+01
7.50000e-02 3.60890e+00 -4.12891e+01 -4.49108e+01 -4.48980e+01
8.00000e-02 3.84665e+00 -4.43874e+01 -4.82304e+01 -4.82340e+01
8.50000e-02 4.07262e+00 -4.74059e+01 -5.14709e+01 -5.14785e+01
9.00000e-02 4.36639e+00 -5.03742e+01 -5.47421e+01 -5.47405e+01
9.50000e-02 4.57124e+00 -5.32204e+01 -5.78035e+01 -5.77916e+01
1.00000e-01 4.86044e+00 -5.60340e+01 -6.08773e+01 -6.08944e+01
1.05000e-01 5.05860e+00 -5.87588e+01 -6.38106e+01 -6.38174e+01
1.10000e-01 5.27551e+00 -6.13006e+01 -6.65915e+01 -6.65761e+01
1.15000e-01 5.54981e+00 -6.38467e+01 -6.93895e+01 -6.93965e+01
1.20000e-01 5.75507e+00 -6.61756e+01 -7.19143e+01 -7.19306e+01
1.25000e-01 6.07525e+00 -6.83878e+01 -7.44710e+01 -7.44630e+01
1.30000e-01 6.23038e+00 -7.04705e+01 -7.66969e+01 -7.67008e+01
1.35000e-01 6.53033e+00 -7.23755e+01 -7.88891e+01 -7.89058e+01
1.40000e-01 6.72685e+00 -7.41215e+01 -8.08502e+01 -8.08483e+01
1.45000e-01 7.03296e+00 -7.56660e+01 -8.26969e+01 -8.26990e+01
1.50000e-01 7.20490e+00 -7.70692e+01 -8.42463e+01 -8.42741e+01
1.55000e-01 7.49973e+00 -7.82381e+01 -8.57464e+01 -8.57378e+01
1.60000e-01 7.69945e+00 -7.92521e+01 -8.69513e+01 -8.69515e+01
1.65000e-01 7.99328e+00 -8.00989e+01 -8.80680e+01 -8.80922e+01
1.70000e-01 8.21022e+00 -8.07280e+01 -8.89437e+01 -8.89382e+01
1.75000e-01 8.47151e+00 -8.11416e+01 -8.96266e+01 -8.96131e+01
1.80000e-01 8.72879e+00 -8.14502e+01 -9.01700e+01 -9.01790e+01
1.85000e-01 8.95252e+00 -8.14974e+01 -9.04463e+01 -9.04499e+01
1.90000e-01 9.22516e+00 -8.14304e+01 -9.06652e+01 -9.06555e+01
1.95000e-01 9.39432e+00 -8.12411e+01 -9.06193e+01 -9.06354e+01
2.00000e-01 9.71370e+00 -8.08637e+01 -9.05827e+01 -9.05774e+01
2.05000e-01 9.92907e+00 -8.03534e+01 -9.02922e+01 -9.02825e+01
2.10000e-01 1.02121e+01 -7.96097e+01 -8.97965e+01 -8.98218e+01
2.15000e-01 1.04386e+01 -7.87927e+01 -8.92342e+01 -8.92313e+01
2.20000e-01 1.06342e+01 -7.77391e+01 -8.83864e+01 -8.83733e+01
2.25000e-01 1.09460e+01 -7.65713e+01 -8.75005e+01 -8.75174e+01
2.30000e-01 1.11289e+01 -7.52930e+01 -8.64042e+01 -8.64219e+01
2.35000e-01 1.14362e+01 -7.37553e+01 -8.52062e+01 -8.51915e+01
2.40000e-01 1.16056e+01 -7.21986e+01 -8.38013e+01 -8.38042e+01
2.45000e-01 1.19054e+01 -7.04412e+01 -8.23431e+01 -8.23467e+01
2.50000e-01 1.21516e+01 -6.85664e+01 -8.07278e+01 -8.07180e+01
2.55000e-01 1.23601e+01 -6.65502e+01 -7.89245e+01 -7.89102e+01
2.60000e-01 1.26587e+01 -6.44225e+01 -7.70666e+01 -7.70812e+01
2.65000e-01 1.28269e+01 -6.21714e+01 -7.49983e+01 -7.49982e+01
2.70000e-01 1.31495e+01 -5.97712e+01 -7.29201e+01 -7.29207e+01
2.75000e-01 1.33380e+01 -5.72444e+01 -7.05597e+01 -7.05823e+01
2.80000e-01 1.36224e+01 -5.46027e+01 -6.82381e+01 -6.82251e+01
2.85000e-01 1.38257e+01 -5.18964e+01 -6.57416e+01 -6.57221e+01
2.90000e-01 1.41132e+01 -4.90774e+01 -6.31786e+01 -6.31907e+01
2.95000e-01 1.43617e+01 -4.62368e+01 -6.06010e+01 -6.05985e+01
3.00000e-01 1.46167e+01 -4.32298e+01 -5.78639e+01 -5.78464e+01
3.05000e-01 1.48305e+01 -4.02676e+01 -5.50805e+01 -5.50981e+01
3.10000e-01 1.51197e+01 -3.71904e+01 -5.22964e+01 -5.23101e+01
3.15000e-01 1.53344e+01 -3.41392e+01 -4.94913e+01 -4.94736e+01
3.20000e-01 1.56264e+01 -3.10617e+01 -4.66754e+01 -4.66881e+01
