time difference
0.00000e+00 0.00000e+00
4.16667e-02 2.16017e+01
8.33333e-02 7.38974e+00
1.25000e-01 -1.88823e+01
1.66667e-01 5.32061e-01
2.08333e-01 1.62929e+01
2.50000e-01 -6.33744e+00
2.91667e-01 2.04075e+01
3.33333e-01 2.96772e+00
3.75000e-01 2.22283e+00
4.16667e-01 1.78181e+01
4.58333e-01 1.15989e+01
5.00000e-01 1.09013e+01
5.41667e-01 9.13963e+00
5.83333e-01 -2.21101e+01
6.25000e-01 -4.80037e+00
6.66667e-01 -2.38955e+01
7.08333e-01 1.71205e+01
7.50000e-01 1.12206e+01
7.91667e-01 -8.61939e+00
8.33333e-01 -1.26158e+01
8.75000e-01 -2.28195e+00
9.16667e-01 -2.22874e+01
9.58333e-01 1.91069e+01
1.00000e+00 -1.21665e+01
1.04167e+00 -1.33015e+01
1.08333e+00 1.72979e+01
1.12500e+00 3.07413e+00
1.16667e+00 1.25685e+01
1.20833e+00 -1.28759e+01
1.25000e+00 3.93725e+00
1.29167e+00 -1.86813e+00
1.33333e+00 -2.28195e+01
1.37500e+00 1.00500e+01
1.41667e+00 2.22638e+01
1.45833e+00 1.27813e+01
1.50000e+00 1.96390e+01
1.54167e+00 1.52524e+01
1.58333e+00 1.32661e+01
1.62500e+00 -1.57845e+01
1.66667e+00 2.04548e+00
1.70833e+00 -2.71115e+01
1.75000e+00 -1.04047e+00
1.79167e+00 -2.54207e+00
1.83333e+00 -2.55389e+00
1.87500e+00 -1.28759e+01
1.91667e+00 8.09915e+00
1.95833e+00 1.05703e+01
2.00000e+00 -1.44248e+01
2.04167e+00 7.72080e+00
2.08333e+00 7.31879e+00
2.12500e+00 -7.94544e+00
2.16667e+00 4.18555e+00
2.20833e+00 1.29941e+01
2.25000e+00 7.18874e+00
2.29167e+00 6.88132e+00
2.33333e+00 7.09415e-01
2.37500e+00 -7.12962e+00
2.41667e+00 -2.01119e+01
2.45833e+00 3.15690e+00
2.50000e+00 1.01683e+01
2.54167e+00 -2.10460e+01
2.58333e+00 1.21428e+01
2.62500e+00 1.20600e+01
2.66667e+00 1.19655e+01
2.70833e+00 2.70760e+00
2.75000e+00 9.22239e-01
2.79167e+00 -3.10960e+00
2.83333e+00 1.49568e+01
2.87500e+00 -2.38245e+01
2.91667e+00 -7.74444e+00
2.95833e+00 -1.67540e+01
3.00000e+00 1.06767e+01
3.04167e+00 -2.18145e+01
3.08333e+00 4.49296e+00
3.12500e+00 1.70378e+01
3.16667e+00 1.80901e+00
3.20833e+00 -2.57754e+00
3.25000e+00 3.71260e+00
3.29167e+00 -1.35616e+01
3.33333e+00 2.32924e+00
3.37500e+00 -1.06767e+01
3.41667e+00 8.98592e+00
3.45833e+00 -2.25121e+01
3.50000e+00 -2.57754e+01
3.54167e+00 4.72943e-01
3.58333e+00 4.30378e+00
3.62500e+00 1.46612e+00
3.66667e+00 -1.15162e+01
3.70833e+00 -1.60801e+00
